41.885,-87.652,3419,674,19.713
41.917,-87.749,66,13,19.697
41.886,-87.625,61,12,19.672
41.867,-87.649,1642,323,19.671
41.987,-87.690,163,32,19.632
41.933,-87.666,1867,366,19.604
42.000,-87.670,701,137,19.544
41.918,-87.657,2772,541,19.517
41.908,-87.632,4856,947,19.502
41.907,-87.635,5531,1078,19.490
41.891,-87.667,1669,325,19.473
41.887,-87.647,422,82,19.431
41.897,-87.631,3692,717,19.420
41.799,-87.595,3478,675,19.408
41.940,-87.700,738,143,19.377
41.884,-87.644,2287,443,19.370
41.860,-87.650,787,152,19.314
41.806,-87.624,57,11,19.298
41.900,-87.670,2541,490,19.284
41.976,-87.709,384,74,19.271
41.990,-87.693,187,36,19.251
41.858,-87.651,1716,330,19.231
41.880,-87.750,52,10,19.231
41.969,-87.684,1160,223,19.224
41.929,-87.684,1233,237,19.221
41.980,-87.682,791,152,19.216
41.848,-87.685,328,63,19.207
41.943,-87.740,141,27,19.149
41.949,-87.659,653,125,19.142
41.791,-87.600,4834,925,19.135
41.954,-87.719,596,114,19.128
41.958,-87.649,89,17,19.101
41.896,-87.668,1673,319,19.068
41.743,-87.702,63,12,19.048
41.944,-87.671,415,79,19.036
41.880,-87.656,1834,349,19.029
41.885,-87.706,247,47,19.028
41.927,-87.641,1310,249,19.008
41.884,-87.657,1247,237,19.006
41.887,-87.623,58,11,18.966
41.925,-87.714,1024,194,18.945
41.890,-87.653,602,114,18.937
41.814,-87.597,571,108,18.914
41.926,-87.654,5200,983,18.904
41.830,-87.610,217,41,18.894
41.905,-87.710,90,17,18.889
41.810,-87.616,297,56,18.855
41.967,-87.679,1868,352,18.844
41.939,-87.724,913,172,18.839
41.830,-87.650,393,74,18.830
41.875,-87.650,2682,505,18.829
42.020,-87.690,85,16,18.824
41.903,-87.669,2519,474,18.817
41.800,-87.600,1096,206,18.796
42.005,-87.661,862,162,18.794
41.901,-87.677,2209,415,18.787
41.870,-87.660,953,179,18.783
42.033,-87.679,1198,225,18.781
41.899,-87.672,1539,289,18.778
41.933,-87.642,671,126,18.778
41.922,-87.702,128,24,18.750
41.831,-87.656,400,75,18.750
42.048,-87.683,2378,445,18.713
41.886,-87.647,449,84,18.708
41.929,-87.664,2648,495,18.693
41.878,-87.635,5209,973,18.679
41.779,-87.645,75,14,18.667
41.930,-87.750,59,11,18.644
41.844,-87.695,59,11,18.644
42.009,-87.690,279,52,18.638
41.924,-87.649,784,146,18.622
41.930,-87.643,5314,989,18.611
42.010,-87.690,86,16,18.605
41.869,-87.659,1495,278,18.595
42.019,-87.664,603,112,18.574
41.920,-87.720,862,160,18.561
41.774,-87.577,291,54,18.557
41.858,-87.669,1466,272,18.554
41.891,-87.632,8020,1487,18.541
41.890,-87.680,788,146,18.528
41.958,-87.674,988,183,18.522
41.878,-87.662,1276,235,18.417
42.057,-87.687,864,159,18.403
41.950,-87.747,174,32,18.391
41.914,-87.649,2534,466,18.390
41.894,-87.629,7277,1338,18.387
41.994,-87.689,332,61,18.373
41.938,-87.698,1204,221,18.355
41.903,-87.692,60,11,18.333
41.890,-87.630,13262,2430,18.323
41.954,-87.648,3983,728,18.278
41.910,-87.682,1813,331,18.257
41.883,-87.650,374,68,18.182
41.970,-87.730,88,16,18.182
41.954,-87.741,176,32,18.182
41.922,-87.802,99,18,18.182
41.967,-87.667,2850,518,18.175
41.921,-87.664,501,91,18.164
41.907,-87.682,325,59,18.154
42.016,-87.669,1137,206,18.118
41.980,-87.690,315,57,18.095
41.883,-87.657,1267,229,18.074
41.924,-87.721,83,15,18.072
41.847,-87.647,1068,193,18.071
41.830,-87.670,238,43,18.067
41.936,-87.653,4053,732,18.061
41.970,-87.670,2267,409,18.041
41.810,-87.710,61,11,18.033
41.962,-87.666,2456,442,17.997
41.929,-87.649,4790,862,17.996
42.008,-87.666,1090,196,17.982
41.909,-87.678,2803,504,17.981
41.940,-87.659,3785,680,17.966
41.939,-87.683,1416,254,17.938
41.950,-87.730,368,66,17.935
41.949,-87.675,1180,211,17.881
41.920,-87.640,6080,1086,17.862
41.884,-87.649,3130,559,17.859
41.920,-87.650,6379,1139,17.855
41.892,-87.689,577,103,17.851
41.790,-87.600,3239,578,17.845
41.910,-87.670,4684,835,17.827
41.855,-87.654,606,108,17.822
41.970,-87.700,292,52,17.808
41.922,-87.654,3968,706,17.792
41.918,-87.644,2743,488,17.791
41.872,-87.630,4696,835,17.781
41.942,-87.747,90,16,17.778
41.895,-87.695,225,40,17.778
41.859,-87.696,107,19,17.757
41.922,-87.659,282,50,17.730
41.888,-87.756,79,14,17.722
42.000,-87.680,175,31,17.714
41.942,-87.732,96,17,17.708
41.801,-87.687,96,17,17.708
41.918,-87.652,3891,689,17.708
41.970,-87.760,209,37,17.703
41.803,-87.665,102,18,17.647
41.780,-87.590,329,58,17.629
41.897,-87.622,4065,716,17.614
41.792,-87.587,1834,323,17.612
41.956,-87.680,1522,268,17.608
41.926,-87.658,2751,484,17.594
41.780,-87.616,108,19,17.593
41.954,-87.686,580,102,17.586
41.871,-87.626,4800,844,17.583
41.869,-87.686,364,64,17.582
41.911,-87.653,3064,538,17.559
41.860,-87.690,188,33,17.553
42.020,-87.670,433,76,17.552
41.910,-87.740,57,10,17.544
41.929,-87.659,1956,343,17.536
41.947,-87.659,657,115,17.504
41.896,-87.626,4426,774,17.488
41.924,-87.646,4486,784,17.477
41.955,-87.674,1363,238,17.461
41.787,-87.624,63,11,17.460
41.930,-87.640,7207,1257,17.441
42.035,-87.699,281,49,17.438
42.040,-87.700,109,19,17.431
41.918,-87.682,1578,275,17.427
41.780,-87.600,551,96,17.423
41.844,-87.642,138,24,17.391
41.936,-87.648,4152,722,17.389
41.941,-87.669,2527,439,17.372
41.922,-87.739,104,18,17.308
41.920,-87.750,52,9,17.308
41.951,-87.655,237,41,17.300
41.962,-87.755,133,23,17.293
41.941,-87.678,1174,203,17.291
41.889,-87.627,4664,806,17.281
41.950,-87.720,278,48,17.266
41.958,-87.655,2702,466,17.246
41.896,-87.677,3039,524,17.243
41.910,-87.730,87,15,17.241
41.931,-87.744,58,10,17.241
